class,d,z
http://testcase/13#2011,Surface Area - Staten Island ,128
http://testcase/24#2010,Subways ,1077
http://testcase/12#2011,Surface Area - Queens ,102
http://testcase/3#2012,Subways ,1634
http://testcase/2#2012,Total Unsheltered Individuals ,3262
http://testcase/28#2009,Surface Total ,1360
http://testcase/14#2011,Surface Total ,1373
http://testcase/18#2010,Surface Area - Manhattan ,1145
http://testcase/32#2009,Surface Area - Bronx ,164
http://testcase/11#2011,Surface Area - Brooklyn ,242
http://testcase/5#2012,Surface Area - Staten Island ,99
http://testcase/6#2012,Surface Area - Queens ,86
http://testcase/7#2012,Surface Area - Brooklyn ,368
http://testcase/22#2010,Surface Area - Staten Island ,175
http://testcase/10#2011,Surface Area - Bronx ,115
http://testcase/29#2009,Surface Area - Staten Island ,121
http://testcase/31#2009,Surface Area - Brooklyn ,200
http://testcase/26#2009,Total Unsheltered Individuals ,2328
http://testcase/8#2012,Surface Area - Bronx ,169
http://testcase/16#2011,Total Unsheltered Individuals ,2648
http://testcase/20#2010,Surface Area - Brooklyn ,428
http://testcase/30#2009,Surface Area - Queens ,98
http://testcase/4#2012,Surface Total ,1628
http://testcase/25#2009,Surface Area - Manhattan ,777
http://testcase/19#2010,Surface Area - Bronx ,174
http://testcase/15#2011,Subways ,1275
http://testcase/9#2011,Surface Area - Manhattan ,786
http://testcase/27#2009,Subways ,968
http://testcase/21#2010,Surface Area - Queens ,112
http://testcase/17#2010,Total Unsheltered Individuals ,3111
http://testcase/23#2010,Surface Total ,2034
http://testcase/1#2012,Surface Area - Manhattan ,906
